cnpj,code_nf,num_nf
34274233006801,003604715,15962948
34274233006801,003604717,15967649
34274233006801,003604881,31074840
34274233006801,003604894,33003785
34274233006801,003604896,33715191
34274233006801,003605173,71590507
34274233006801,003605237,78328494
34274233006801,003605243,78344163
34274233006801,003605342,88194159
